dranghek,dranghekken
joelen,gejoeld
joelen,joelt
joelen,joel
flonkeren,geflonkerd
flonkeren,flonkert
flonkeren,flonkerend
flonkeren,flonker
flonkeren,flonkerden
flonkeren,flonkerde
Luiker,luiker
voetzool,voetzolen
reine-claude,reine-claudes
picknick,picknicks
performance,performances
carburator,carburatoren
carburator,carburators
peuter,peutertjes
peuter,peutertje
peuter,peuters
aaneensluiten,aaneensluitend
aaneensluiten,aaneensloot
aaneensluiten,aaneensluit
aaneensluiten,aaneensloten
flatteren,flatteerde
flatteren,flatterend
flatteren,flatteer
flatteren,flatteert
flatteren,flatteerden
volksverhuizing,volksverhuizingen
berijden,berijd
berijden,bereed
berijden,berijdt
berijden,berijdend
vreemdelingenlegioen,vreemdelingenlegioenen
barrage,barrages
fluistercampagne,fluistercampagnes
snuiten,snoot
snuiten,gesnoten
snuiten,gesnuit
snuiten,snuitende
snuiten,snuitte
snuiten,snoten
snuiten,snuitten
snuiten,snuitend
krijtachtig,krijtachtiger
krijtachtig,krijtachtige
kindertehuis,kindertehuizen
angst,angsten
geheelonthouder,geheelonthouders
valbijl,valbijlen
praat,praats
praam,praampje
praam,praampjes
variëren,varieert
variëren,varieerden
variëren,variërend
variëren,varieer
variëren,variËrend
variëren,varieerde
variëren,variËren
raadsverkiezing,raadsverkiezingen
WO,wo
wijsheid,wijsheden
WK,wk
WW,ww
Beskiden,beskiden
frequent,frequenter
frequent,frequentst
docentschap,docentschappen
wandelroute,wandelroutes
wandelroute,wandelrouten
uitwringen,uitgewrongen
uitwringen,uitwring
uitwringen,uitwringend
uitwringen,uitwrong
uitwringen,uitwringende
uitwringen,uitwrongen
uitwringen,uitwringt
Duinkerkse,duinkerkse
papenvreter,papenvreters
werkneemster,werkneemsters
nietsnut,nietsnutten
stuwen,gestuwd
stuwen,stuwt
stuwen,stuwde
stuwen,stuwend
stuwen,stuwden
Aquitaans,aquitaans
wassen,wast
wassen,wasten
wassen,wies
wassen,wiesen
wassen,waste
wassen,wassend
wassen,gewast
afwegen,afwogen
afwegen,afweeg
afwegen,afwegend
afwegen,afweegt
afwegen,afgewogen
afwegen,afwoog
stomp,stompste
stomp,stomper
stomp,stompere
spekken,spekt
spekken,gespekte
spekken,gespekt
spekken,spekte
spekken,spekkend
spekken,spekten
voortzetten,voortzette
voortzetten,voortzet
voortzetten,voortzettend
expansief,expansiefste
expansief,expansievere
expansief,expansiever
gek,gekken
gek,gekst
gek,gekker
wasser,wassers
stortvloed,stortvloeden
gen,genen
gel,gellen
gel,gels
gel,gelletje
gel,gelletjes
wederwoord,wederwoorden
W.,w.
wanhopen,wanhoopte
wanhopen,wanhoopt
wanhopen,wanhoopten
wanhopen,gewanhoopt
wanhopen,wanhopend
Paduaans,paduaans
isoglosse,isoglossen
personeelsblad,personeelsbladen
regisseur,regisseurs
verwilderd,verwilderdste
verwilderd,verwilderder
mijmeren,mijmerden
mijmeren,gemijmerd
mijmeren,mijmerend
mijmeren,mijmerde
mijmeren,mijmert
mijmeren,mijmer
privé-club,privé-clubs
nudistenstrand,nudistenstranden
loontrekkende,loontrekkenden
deelregering,deelregeringen
wonder,wonderen
vergenoegen,vergenoegden
vergenoegen,vergenoegt
vergenoegen,vergenoegend
vergenoegen,vergenoeg
quotering,quoteringen
dalgrond,dalgronden
moduul,modulen
halfaap,halfapen
luchtververser,luchtverversers
label,labeltjes
label,labels
label,labeltje
label,labelletjes
label,labellen
schietterrein,schietterreinen
rolluik,rolluiken
onderwaarderen,ondergewaardeerd
onderwaarderen,onderwaardeerden
onderwaarderen,onderwaarderend
onderwaarderen,onderwaardeert
onderwaarderen,onderwaardeer
onderwaarderen,onderwaardeerde
onderwaarderen,onderwaarderende
piemel,piemels
piemel,piemeltjes
piemel,piemeltje
linkervleugel,linkervleugels
gebouwencomplex,gebouwencomplexen
vriend,vrienden
vriend,vriendje
vriend,vriendjes
Brugse,brugsen
Brugse,brugse
wapen,wapens
invriezen,invriest
invriezen,invroren
invriezen,invroor
invriezen,invries
invriezen,invriezend
invriezen,ingevrozen
arbeidsplaats,arbeidsplaatsen
jongensachtig,jongensachtiger
consistorie,consistories
bovenlijf,bovenlijven
schermen,geschermd
schermen,schermend
schermen,schermt
schermen,schermden
schermen,schermde
tour,tours
laveloos,lavelozer
lichtstad,lichtsteden
touw,touwtje
touw,touwtjes
rommelen,rommelden
rommelen,gerommeld
rommelen,rommelend
rommelen,rommelde
rommelen,rommelt
steunbeer,steunberen
schaatser,schaatsers
spant,spanten
schaatsen,schaatst
schaatsen,schaatste
schaatsen,schaatsend
schaatsen,schaatsten
schaatsen,geschaatst
hardgeel,hardgele
grond,gronde
grond,grondje
grond,gronds
grond,grondjes
Mauritanië,mauritaniË
Mauritanië,mauritanië
bakkersknecht,bakkersknechten
bakkersknecht,bakkersknechts
lasterlijk,lasterlijkste
bibliobus,bibliobussen
Laconië,laconië
streekschool,streekscholen
politiek,politiekst
politiek,politiekste
politiek,politieker
Atlasgebergte,atlasgebergte
drijfnetvloot,drijfnetvloten
linkerarm,linkerarmen
wijting,wijtingen
kosmopoliet,kosmopolieten
lasbrander,lasbranders
programmaboekje,programmaboekjes
toepassen,toepassend
toepassen,toepast
toepassen,toepasten
toepassen,toepas
toepassen,toepaste
sound,sounds
kolos,kolossen
krant,krantjes
krant,krantje
krant,kranten
krans,kransjes
krans,kransen
krans,kransje
discuswerper,discuswerpers
tankwagen,tankwagens
bestuursdienst,bestuursdiensten
wachthokje,wachthokjes
novelle,novellen
novelle,novelles
priegelen,priegel
priegelen,priegelt
priegelen,priegelend
priegelen,gepriegeld
priegelen,priegelden
priegelen,priegelde
rijkelijk,rijkelijkste
rijkelijk,rijkelijker
rijkelijk,rijkelijkst
rijkelijk,rijkelijkere
kolom,kolommetje
kolom,kolommen
kolom,kolommetjes
autorisatie,autorisaties
Sudan,sudan
rattestaart,rattestaarten
werktuiglijk,werktuiglijker
overkapping,overkappingen
dwepen,dweept
dwepen,dwepend
dwepen,dweepte
dwepen,dweepten
dwepen,gedweept
dwepen,dweep
rankune,rankunes
cheffin,cheffinnen
azen,geaasd
azen,aast
azen,aasde
azen,aasden
azen,azend
landsgrens,landsgrenzen
voorbeeldzin,voorbeeldzinnen
bekwaamheid,bekwaamheden
Damasceense,damasceense
betrekking,betrekkingen
Namibische,namibische
vrouwengek,vrouwengekken
essayist,essayisten
hagedis,hagedissen
hagedis,hagedisjes
olieman,oliemannen
verzwikken,verzwikten
verzwikken,verzwikkend
verzwikken,verzwikkende
verzwikken,verzwik
verzwikken,verzwikt
orthopedagoog,orthopedagogen
Kerstmis,kerstmis
aids-virus,aids-virussen
uitbetalen,uitbetaalt
uitbetalen,uitbetaalden
uitbetalen,uitbetaald
uitbetalen,uitbetaal
uitbetalen,uitbetalend
ontluchten,ontluchtte
ontluchten,ontlucht
ontluchten,ontluchtend
ontluchten,ontluchtten
ontluchten,ontluchtende
kuieren,kuiert
kuieren,gekuierd
kuieren,kuierde
kuieren,kuierden
kuieren,kuierend
voogdes,voogdessen
middenklasser,middenklassers
adviesorgaan,adviesorganen
terugzenden,terugzonden
terugzenden,terugzendt
terugzenden,teruggezonden
terugzenden,terugzond
terugzenden,terugzendende
terugzenden,terugzend
terugzenden,terugzendend
dikbuikig,dikbuikiger
dikbuikig,dikbuikigste
epitheton,epitheta
epitheton,epithetons
Teheraanse,teheraanse
rolpatroon,rolpatronen
Jordaan,jordaan
lastpak,lastpakken
koprol,koprollen
Andijnse,andijnse
Taurus,taurus
intimmeren,intimmerde
intimmeren,intimmert
intimmeren,ingetimmerde
intimmeren,ingetimmerd
Tongaan,tonganen
Tongaan,tongaan
verbrassen,verbrast
verbrassen,verbrassend
verbrassen,verbras
verbrassen,verbrasten
Belmopan,belmopan
hemellichaam,hemellichamen
mishandelen,mishandel
mishandelen,mishandelt
mishandelen,mishandelden
mishandelen,mishandelend
mishandelen,mishandeld
nat,natst
nat,natter
gering,geringer
gering,geringst
consulaat,consulaten
familiaar,familiaarder
maritiem,maritiemer
elektricien,elektriciens
Leeuwarden,leeuwarden
begaafdheid,begaafdheden
vredesbespreking,vredesbesprekingen
oplaten,oplaat
oplaten,oplieten
oplaten,oplatend
oplaten,opliet
oplaten,oplatende
afmeting,afmetingen
glansrol,glansrollen
Leeuwarder,leeuwarders
Leeuwarder,leeuwarder
naad,naden
naaf,naven
doorbladeren,doorbladerden
doorbladeren,doorbladerd
doorbladeren,doorgebladerd
doorbladeren,doorblader
doorbladeren,doorbladerend
doorbladeren,doorbladert
doorbladeren,doorgebladerde
naam,naampjes
naam,naampje
liefdesgeschiedenis,liefdesgeschiedeniss
liefdesgeschiedenis,liefdesgeschiedenissen
stuiteren,stuitert
stuiteren,stuiterend
stuiteren,gestuiterd
stuiteren,gestuiterde
stuiteren,stuiterden
stuiteren,stuiterde
aaneenrijgen,aaneenregen
aaneenrijgen,aaneenreeg
aaneenrijgen,aaneenrijgend
aaneenrijgen,aaneenrijgt
aaneenrijgen,aaneengeregen
naar,naarder
naar,naardere
naar,naarst
artefakt,artefakten
lijdzaam,lijdzaamste
lijdzaam,lijdzamer
knuffelen,knuffelend
knuffelen,knuffelt
knuffelen,geknuffeld
knuffelen,knuffelde
knuffelen,knuffelden
noodrantsoen,noodrantsoenen
intensiveren,intensiveerden
intensiveren,intensiverend
intensiveren,intensiveerde
intensiveren,intensiveert
intensiveren,intensiveer
intensiveren,geïntensiveerd
intensiveren,geÏntensiveerd
baltechniek,baltechnieken
tragikomedie,tragikomedies
selectief,selectiever
nieuwbouwwoning,nieuwbouwwoningen
woord,woorden
douchegelegenheid,douchegelegenheden
Vietnam,vietnam
glasraam,glasramen
geestrijk,geestrijkere
geestrijk,geestrijker
aanmeldingsbon,aanmeldingsbonnen
baldadigheid,baldadigheden
toonzetting,toonzettingen
etenswaar,etenswaren
Nieuw-Guinea,nieuw-guinea
hanepoot,hanepoten
gebedsdienst,gebedsdiensten
gebitsbeschermer,gebitsbeschermers
specialistisch,specialistischere
specialistisch,specialistischer
inventarisatie,inventarisaties
fuga,fugaatjes
fuga,fugaatje
staatsmijn,staatsmijnen
zuiver,zuiverder
zuiver,zuiverst
nettoprijs,nettoprijzen
abattoir,abattoirs
versie,versies
vastbakken,vastbakt
vastbakken,vastbakte
vastbakken,vastgebakken
Iberiër,iberiërs
Iberiër,iberiër
bevallen,beviel
bevallen,bevallend
bevallen,bevielen
bevallen,bevalt
onvolmaakt,onvolmaakter
zwartkijker,zwartkijkers
afname,afnames
naamval,naamvallen
onverteerbaar,onverteerbaarder
onverteerbaar,onverteerbaarst
logeren,logeert
logeren,logerend
logeren,gelogeerd
logeren,logeer
logeren,gelogeerde
logeren,logeerde
logeren,logeerden
regeling,regelingen
beloeren,beloert
beloeren,beloerend
beloeren,beloerende
beloeren,beloerden
beloeren,beloerd
beloeren,beloer
snotlap,snotlappen
Moldavië,moldavië
Moldavië,moldaviË
afkussen,afgekust
afkussen,afkuste
verheffing,verheffingen
Marokko,marokko
strafkamer,strafkamers
genotziek,genotzieke
farmacieconcern,farmacieconcerns
gaspijpleiding,gaspijpleidingen
mensenrechtenorganisatie,mensenrechtenorganisaties
molen,molens
molen,molentje
molen,molentjes
gemakzuchtig,gemakzuchtiger
gemakzuchtig,gemakzuchtigere
razend,razendste
razend,razendere
razend,razender
begaafd,begaafder
begaafd,begaafdst
bloeding,bloedingen
bloeding,bloedinkjes
doodkist,doodkisten
schoonvegen,schoonveegt
schoonvegen,schoongeveegd
schoonvegen,schoonveeg
schoonvegen,schoonveegde
schoonvegen,schoonvegende
schoonvegen,schoonveegden
schoonvegen,schoonvegend
snoet,snoeten
snoet,snoetjes
snoet,snoetje
achillespeesblessure,achillespeesblessures
snoer,snoertje
snoer,snoertjes
snoes,snoezen
Roemeens,roemeens
oudje,oudjes
censor,censors
censor,censoren
onaantastbaar,onaantastbaarste
onaantastbaar,onaantastbaarder
stukjesschrijver,stukjesschrijvers
planetarium,planetaria
planetarium,planetariums
theeblad,theebladen
theeblad,theeblaren
theeblad,theebladeren
snoek,snoeken
passagiersvliegtuig,passagiersvliegtuigen
voorbarig,voorbariger
populatie,populaties
splinterbom,splinterbommen
giropas,giropasje
giropas,giropasjes
giropas,giropassen
overweldigen,overweldig
overweldigen,overweldigd
overweldigen,overweldigden
overweldigen,overweldigt
partijcongres,partijcongressen
eierdooier,eierdooiers
smeerkaas,smeerkazen
Singaporaanse,singaporaanse
Zuid-Afrikaans,zuid-afrikaans
Hanoier,hanoiers
woestijn,woestijnen
velair,velairen
bedijken,bedijkten
bedijken,bedijkt
bedijken,bedijk
confronteren,confronteerde
confronteren,confronteerden
confronteren,confronteer
confronteren,confronteert
confronteren,geconfronteerd
districtsbureau,districtsbureaus
buurtwacht,buurtwachten
promotor,promotors
promotor,promotoren
ledenwerving,ledenwervingen
rechtspersoon,rechtspersonen
lappen,lappend
lappen,lapt
lappen,lapten
lappen,lapte
lappen,gelapt
geldwisselaar,geldwisselaars
geldwisselaar,geldwisselaren
vaarkaart,vaarkaarten
Swaziland,swaziland
zielenknijper,zielenknijpers
keizerlijk,keizerlijker
langsdoorsnede|langsdoorsnee,langsdoorsneden
gepresseerd,gepresseerde
speelgoedtrein,speelgoedtreinen
bakken,bakten
bakken,bakkend
bakken,gebakte
bakken,bakt
bakken,gebakt
bakken,bakte
kanonskogel,kanonskogels
Rusland,rusland
embleem,embleempje
embleem,embleempjes
embleem,emblemen
bakker,bakkers
bakkes,bakkesen
audiorack,audioracks
Kazachstan,kazachstan
basisgegeven,basisgegevens
kaste,kastes
opjutten,opjutte
opjutten,opgejut
opjutten,opjut
opjutten,opjuttend
perforator,perforatoren
perforator,perforators
Socrates,socrates
stippen,stipten
stippen,gestipt
stippen,stippend
stippel,stippeltjes
stippel,stippels
stippel,stippeltje
wegmaken,weggemaakte
wegmaken,weggemaakt
wegmaken,wegmakende
wegmaken,wegmaakt
wegmaken,wegmaakte
agrarisch,agrarischer
ramen,ramend
ramen,geraamd
ramen,raamt
ramen,raamde
ramen,raamden
beerput,beerputten
teuten,teutende
teuten,teutten
teuten,geteut
teuten,teutte
teuten,teutend
heerbaan,heerbanen
studiezaal,studiezalen
ambivalentie,ambivalenties
president-directeur,president-directeuren
vingertop,vingertoppen
termijnbetaling,termijnbetalingen
wapenverkoop,wapenverkopen
consultant,consultanten
Vilnius,vilnius
vliegdekschip,vliegdekschepen
krantenmagnaat,krantenmagnaten
trekvogel,trekvogels
clinch,clinchen
clinch,clinches
arbeidskontrakt,arbeidskontrakten
knipogen,knipoogden
knipogen,geknipoogd
knipogen,knipoogt
knipogen,knipoogde
knipogen,knipogend
zerk,zerken
zerk,zerkjes
stadskern,stadskernen
relaas,relazen
touwladder,touwladders
sleep-in,sleep-ins
agenda,agendaatjes
agenda,agendaatje
vroed,vroedste
vroed,vroedere
vroed,vroeder
tabaksplantage,tabaksplantages
legermacht,legermachten
vroeg,vroegst
bijpassen,bijgepaste
bijpassen,bijgepast
bijpassen,bijpasten
bijpassen,bijpaste
bijpassen,bijpast
bijpassen,bijpas
barok,barokker
barok,barokste
barok,barokkere
klef,kleffer
klef,klefste
frankeren,frankeerde
frankeren,frankeer
frankeren,frankerend
frankeren,frankeert
frankeren,frankeerden
frankeren,gefrankeerd
achterstaan,achterstond
achterstaan,achterstaand
achterstaan,achterstonden
achterstaan,achtersta
achterstaan,achtergestaan
achterstaan,achterstaat
antedateren,antedateerde
antedateren,antedateer
antedateren,geantedateerde
antedateren,antedateert
antedateren,geantedateerd
zwaartepunt,zwaartepunten
klem,klemmetjes
klem,klemmetje
toegang,toegangen
algoritme,algoritmen
algoritme,algoritmes
talenlaboratorium,talenlaboratoria
belichten,belicht
belichten,belichtten
belichten,belichtte
belichten,belichtend
polio-epidemie,polio-epidemieën
leesmachine,leesmachines
snauwen,snauwt
snauwen,gesnauwd
snauwen,snauwde
snauwen,snauwden
snauwen,snauwend
telraam,telramen
lasagne,lasagnes
kamenierster,kameniersters
uitdoven,uitdoofde
uitdoven,uitgedoofd
uitdoven,uitdoofden
uitdoven,uitdooft
uitdoven,uitdoof
uitdoven,uitdovend
begrenzen,begrenst
begrenzen,begrens
begrenzen,begrensd
begrenzen,begrensden
begrenzen,begrenzend
zorgwekkend,zorgwekkendere
zorgwekkend,zorgwekkender
zorgwekkend,zorgwekkendst
ontzeggen,ontzegd
ontzeggen,ontzeg
ontzeggen,ontzei
ontzeggen,ontzegt
ontzeggen,ontzeggend
ontzeggen,ontzegden
ontzeggen,ontzeiden
Ardens,ardens
vliegenvanger,vliegenvangers
caravan,caravans
parkeergelegenheid,parkeergelegenheden
presse-papier,presse-papiers
grondspeculatie,grondspeculaties
viskwekerij,viskwekerijen
doorgangskamp,doorgangskampen
vlakte,vlakten
vlakte,vlaktes
gaas,gazen
gaar,gaarst
gaar,gaardere
gaar,gaarder
onbezorgd,onbezorgder
onbezorgd,onbezorgdere
nietig,nietiger
nietig,nietigst
nietig,nietigere
betovergrootvader,betovergrootvaders
chemieconcern,chemieconcerns
effectenbezitter,effectenbezitters
gaaf,gaver
gaaf,gaafst
schanddaad,schanddaden
gaai,gaaitje
gaai,gaaitjes
gaai,gaaien
gaan,gaat
gaan,gaand
gaan,ging
gaan,gegaan
gaan,gingen
gaan,ga
gaal,gaaltjes
gaal,galen
gaal,gaaltje
verschroeien,verschroei
verschroeien,verschroeid
verschroeien,verschroeiden
verschroeien,verschroeiend
verschroeien,verschroeit
zwakkeling,zwakkelingen
loochenen,loochenend
loochenen,loochent
loochenen,geloochend
loochenen,loochende
loochenen,loochenden
loochenen,loochen
beschieting,beschietingen
binnenzijde,binnenzijden
Madagassische,madagassische
treurigheid,treurigheden
landen,landt
landen,landden
landen,landde
landen,geland
landen,landend
ereronde,ererondes
ereronde,ereronden
verwijden,verwijdden
verwijden,verwijdde
verwijden,verwijdend
verwijden,verwijdt
verwijden,verwijd
voortent,voortenten
piesen,piesten
piesen,gepiest
piesen,piesend
piesen,piest
piesen,pieste
houw,houwtjes
houw,houwtje
raddraaier,raddraaiers
suïcidaal,suÏcidaal
fraktiewoordvoerder,fraktiewoordvoerders
redactie,redacties
galadiner,galadiners
bijbenen,bijgebeend
bijbenen,bijgebeende
Nanking,nanking
doorzonwoning,doorzonwoningen
loodvergiftiging,loodvergiftigingen
kleurenblind,kleurenblinder
prijsindex,prijsindices
prijsindex,prijsindexen
verwelken,verwelkten
verwelken,verwelkt
verwelken,verwelkend
verwelken,verwelk
dazen,dazende
dazen,dazend
dazen,gedaasd
dazen,daasde
dazen,daasden
nuancering,nuanceringen
tijdopnemer,tijdopnemers
cisterciënzer,cisterciËnzers
cisterciënzer,cisterciënzers
eindigen,eindigden
eindigen,eindigde
eindigen,geËindigd
eindigen,eindigt
eindigen,geëindigd
eindigen,eindigend
verhalen,verhaald
verhalen,verhalend
verhalen,verhaalden
verhalen,verhaalt
uitlijnen,uitlijn
uitlijnen,uitlijnden
uitlijnen,uitlijnt
uitlijnen,uitgelijnd
uitlijnen,uitlijnend
uitlijnen,uitlijnende
uitlijnen,uitlijnde
gunstkoopje,gunstkoopjes
nagaan,nagingen
nagaan,nagaand
nagaan,naga
nagaan,nagegaan
nagaan,naging
nagaan,nagaat
stil,stiller
stil,stilst
stil,stilletjes
onthoofding,onthoofdingen
verbruiken,verbruikend
verbruiken,verbruikten
verbruiken,verbruikt
debuteren,gedebuteerd
debuteren,debuteer
debuteren,debuteert
debuteren,debuteerden
debuteren,debuteerde
debuteren,debuterend
lokvogel,lokvogels
verbruiker,verbruikers
tassen|tasten,getaste
tassen|tasten,getast
herlezen,herleest
herlezen,herlas
herlezen,herlazen
herlezen,herlezend
herlezen,herlees
intimus,intimi
galjoen,galjoenen
galjoen,galjoens
ginnegappen,ginnegapte
ginnegappen,ginnegapt
ginnegappen,ginnegap
ginnegappen,ginnegapten
ginnegappen,ginnegappend
ginnegappen,geginnegapt
reserve-onderdeel,reserve-onderdelen
mobilhome,mobilhomes
achterflap,achterflappen
onverdraaglijk,onverdraaglijkst
onverdraaglijk,onverdraaglijker
onverdraaglijk,onverdraaglijkere
beginkapitaal,beginkapitalen
bedachtzaam,bedachtzamer
voetfout,voetfouten
schaalverkleining,schaalverkleiningen
draineren,gedraineerd
draineren,draineert
draineren,draineerde
draineren,drainerend
draineren,draineer
draineren,draineerden
morsig,morsigste
morsig,morsiger
vatten,vatte
vatten,vattend
dragon,dragons
windsnelheid,windsnelheden
vibrator,vibratoren
vibrator,vibrators
tropenpak,tropenpakken
parallelliniaal,parallellinialen
Afrikaner,afrikaner
Afrikaner,afrikaners
serenade,serenades
vermogensbeheerder,vermogensbeheerders
flinter,flinters
aftrekbaar,aftrekbare
wandelgang,wandelgangen
loopplank,loopplanken
triomfwagen,triomfwagens
rotan,rotans
Zuidwestkaap,zuidwestkaap
vertakken,vertakkend
vertakken,vertak
vertakken,vertakten
vertakken,vertakt
moraliseren,moraliseer
moraliseren,moraliseerde
moraliseren,moraliseert
moraliseren,moraliserend
moraliseren,gemoraliseerd
baar,baartjes
baar,baartje
baas,bazen
baas,baasjes
baas,baasje
arrestatie,arrestaties
schorpioen,schorpioenen
schorpioen,schorpioentje
schorpioen,schorpioentjes
baai,baaitje
baai,baaien
baai,baaitjes
baal,baaltje
baal,baaltjes
baan,baantjes
baan,baantje
rondpunt,rondpunten
toerfiets,toerfietsen
onbegaanbaar,onbegaanbaarder
soleren,gesoleerd
soleren,soleerden
soleren,soleer
soleren,soleert
soleren,soleerde
soleren,solerend
wensdroom,wensdromen
wandbekleding,wandbekledingen
dwangneurose,dwangneuroses
dwangneurose,dwangneurosen
eenzijdig,eenzijdiger
eenzijdig,eenzijdigste
toerusten,toerust
toerusten,toerustten
toerusten,toerustend
toerusten,toegerust
toerusten,toerustte
natrekken,nagetrokken
natrekken,natrekkend
natrekken,natrek
natrekken,natrekt
natrekken,natrok
natrekken,natrokken
Garapan,garapan
jaarboek,jaarboeken
weekgeld,weekgelden
grapjas,grapjassen
aanvallig,aanvalliger
aanvallig,aanvalligste
verheimelijken,verheimelijk
verheimelijken,verheimelijkt
verheimelijken,verheimelijkende
verheimelijken,verheimelijkte
verheimelijken,verheimelijkend
verheimelijken,verheimelijkten
visserij,visserijen
knersen,kners
knersen,geknerst
knersen,knersten
knersen,knersend
knersen,knerst
knersen,knersende
knersen,knerste
solist,solisten
calorie,calorieën
calorie,calorieËn
opeisen,opgeËist
opeisen,opeis
opeisen,opeisend
opeisen,opgeëist
opeisen,opeiste
opeisen,opeist
opeisen,opeisten
voeteneind|voeteneinde,voeteneinden
legpuzzle,legpuzzles
honderdje,honderdjes
rijksarchief,rijksarchieven
verstrijken,verstrijk
verstrijken,verstrijkend
verstrijken,verstrijkt
verstrijken,verstreek
verstrijken,verstreken
uitwas,uitwasjes
backen,backende
backen,backt
backen,backte
backen,gebackte
backen,backten
backen,gebackt
backen,backend
verstedelijken,verstedelijkten
verstedelijken,verstedelijkend
verstedelijken,verstedelijkt
verstedelijken,verstedelijk
luidruchtig,luidruchtiger
luidruchtig,luidruchtigst
stamelen,stamel
stamelen,stamelden
stamelen,gestameld
stamelen,stamelend
stamelen,stamelde
stamelen,stamelt
verkleinen,verkleinend
verkleinen,verkleind
verkleinen,verklein
verkleinen,verkleint
verkleinen,verkleinden
afvloeiing,afvloeiingen
tekstverklaring,tekstverklaringen
Thracisch,thracisch
lichaamstemperatuur,lichaamstemperaturen
NASA,nasa
kunstgreep,kunstgreepjes
kunstgreep,kunstgrepen
bliep,blieps
straathoekwerker,straathoekwerkers
betreurenswaardig,betreurenswaardigst
betreurenswaardig,betreurenswaardiger
onwrikbaar,onwrikbaarder
Aarlense,aarlense
plaatsvervanger,plaatsvervangers
scheldpartij,scheldpartijen
gedrongen,gedrongener
rustplaats,rustplaatsen
kerkfabriek,kerkfabrieken
sater,satertje
sater,satertjes
sater,saters
boordnet,boordnetten
remonstrant,remonstranten
scenarioschrijver,scenarioschrijvers
presidentieel,presidentiËle
weg|wegge,weggen
weg|wegge,weggetje
weg|wegge,weggetjes
gezelschapsspel,gezelschapsspellen
gezelschapsspel,gezelschapsspelen
notabele,notabelen
Betuwer,betuwers
Betuwer,betuwer
zwaluw,zwaluwen
zwaluw,zwaluwtje
zwaluw,zwaluwtjes
valhek,valhekken
omwaaien,omwoeien
omwaaien,omwaaiend
omwaaien,omwaaid
omwaaien,omwaaiden
omwaaien,omwaai
omwaaien,omgewaaid
omwaaien,omwaait
omwaaien,omwoei
schuimen,schuimde
schuimen,geschuimd
schuimen,schuimt
schuimen,schuimden
bedenker,bedenkers
schuimer,schuimers
bedenken,bedenkend
bedenken,bedenkt
bedenken,bedenk
bedenken,bedachten
afgrond,afgronden
dimensie,dimensies
reischeque,reischeques
Engelstalig,engelstalig
fotoalbum,fotoalbums
bergstroom,bergstromen
neusbeentje,neusbeentjes
woensdag,woensdagen
koet,koeten
grandioos,grandioost
grandioos,grandiooste
grandioos,grandiozer
grandioos,grandiozere
neerschieten,neerschiet
neerschieten,neerschietende
neerschieten,neerschoten
neerschieten,neerschoot
neerschieten,neerschietend
neerschieten,neergeschoten
duurzaam,duurzamer
duurzaam,duurzaamst
verkwisting,verkwistingen
uitklappen,uitklapt
uitklappen,uitklapten
uitklappen,uitklapte
uitklappen,uitklappend
uitklappen,uitgeklapt
uitklappen,uitklap
ondergrondse,ondergrondsen
bokshandschoen,bokshandschoenen
overgangsregeling,overgangsregelingen
indoctrineren,indoctrineert
indoctrineren,indoctrineerden
indoctrineren,geÏndoctrineerd
indoctrineren,geïndoctrineerd
indoctrineren,indoctrineerde
indoctrineren,indoctrineer
indoctrineren,indoctrinerend
indoctrineren,geÏndoctrineerde
vastgoedmakelaar,vastgoedmakelaars
ongrijpbaar,ongrijpbaarder
ongrijpbaar,ongrijpbaarst
ongrijpbaar,ongrijpbaardere
plafond,plafonds
opheldering,ophelderingen
spitsuur,spitsuren
volkszanger,volkszangers
motregen,motregens
Nassause,nassause
gevraagd,gevraagder
keizersnee,keizersneeën
dirigent,dirigenten
patholoog,pathologen
abnormaal,abnormaler
abnormaal,abnormalere
zinspelen,zinspelend
zinspelen,zinspeelt
zinspelen,gezinspeeld
zinspelen,zinspeel
zinspelen,zinspeelden
zinspelen,zinspeelde
fundering,funderinkje
fundering,funderinkjes
fundering,funderingen
oud-president,oud-presidenten
wegpakken,wegpakt
wegpakken,wegpak
wegpakken,wegpakte
wegpakken,wegpakten
wegpakken,weggepakt
wegpakken,weggepakte
non-stopvlucht,non-stopvluchten
doorseinen,doorseinde
doorseinen,doorsein
doorseinen,doorgeseind
doorseinen,doorseint
doorseinen,doorgeseinde
doorseinen,doorseinden
rouleren,rouleer
rouleren,rouleerde
rouleren,rouleerden
rouleren,roulerend
rouleren,gerouleerd
rouleren,rouleert
planmatig,planmatiger
motorrijder,motorrijders
landbouwproduct,landbouwproducten
karbonade,karbonaden
karbonade,karbonaadjes
karbonade,karbonades
karbonade,karbonaadje
mensenmenigte,mensenmenigten
mensenmenigte,mensenmenigtes
pauwenveer,pauwenveren
kranslegging,kransleggingen
Zuidereiland,zuidereiland
syllogisme,syllogismen
tengel|tengels,tengels
schooltas,schooltassen
rebels,rebelsere
rebels,rebelste
rebels,rebelser
vikingschip,vikingschepen
ajuin,ajuintjes
ajuin,ajuinen
ajuin,ajuintje
detachering,detacheringen
dichtdoen,dichtdoend
dichtdoen,dichtdeed
dichtdoen,dichtdoet
dichtdoen,dichtdoe
dichtdoen,dichtgedane
dichtdoen,dichtgedaan
dichtdoen,dichtdeden
buffelen,buffelt
buffelen,buffelende
buffelen,buffelden
buffelen,gebuffeld
buffelen,buffelde
buffelen,buffelend
schlemielig,schlemieliger
bebakenen,bebakent
bebakenen,bebakend
